766.267;282.969;27.367;9.674;8.868;0.181;0.258;19.176;0.274;0.387;0.000;28.875;0.212;0.082;12.141;0.389;0.103;19.369;0.000;0.000
765.648;283.167;27.345;9.949;8.356;0.188;0.240;18.830;0.255;0.366;0.000;28.889;0.234;0.083;12.325;0.396;0.082;19.801;0.000;0.000
766.113;283.479;27.361;9.691;9.011;0.170;0.308;18.704;0.253;0.366;0.000;28.961;0.224;0.109;12.205;0.403;0.105;19.488;0.000;0.000
766.857;282.560;27.388;10.283;8.946;0.168;0.324;18.601;0.263;0.344;0.000;28.927;0.234;0.083;11.810;0.376;0.143;19.484;0.000;0.001
766.923;284.540;27.390;9.527;9.001;0.161;0.295;18.745;0.281;0.388;0.000;29.384;0.227;0.049;12.027;0.404;0.106;19.390;0.000;0.000
767.015;283.406;27.393;10.526;8.907;0.165;0.264;18.698;0.267;0.370;0.000;29.100;0.208;0.092;11.596;0.378;0.161;19.261;0.000;0.000
765.630;283.927;27.344;9.728;8.794;0.169;0.272;18.999;0.271;0.372;0.000;28.960;0.216;0.079;12.100;0.385;0.104;19.544;0.000;0.000
765.946;282.874;27.355;9.621;8.933;0.182;0.334;19.110;0.244;0.351;0.000;28.942;0.218;0.089;12.078;0.344;0.160;19.380;0.002;0.002
765.817;283.794;27.351;10.242;8.736;0.193;0.218;18.931;0.267;0.363;0.000;28.463;0.209;0.083;12.261;0.366;0.096;19.550;0.000;0.000
766.941;283.191;27.391;10.627;8.783;0.159;0.271;18.812;0.245;0.388;0.000;28.659;0.196;0.073;12.022;0.384;0.102;19.274;0.000;0.003
766.406;283.586;27.372;9.720;8.973;0.179;0.268;18.682;0.273;0.372;0.000;28.705;0.233;0.099;12.429;0.381;0.117;19.560;0.000;0.000
766.747;283.761;27.384;9.608;8.998;0.168;0.285;18.926;0.271;0.376;0.000;28.832;0.207;0.141;12.130;0.386;0.151;19.507;0.000;0.004
766.801;282.596;27.386;10.098;8.478;0.164;0.234;18.640;0.247;0.355;0.000;28.540;0.231;0.117;12.832;0.393;0.109;19.536;0.000;0.009
766.985;284.160;27.392;8.176;8.785;0.180;0.198;19.452;0.264;0.351;0.000;29.544;0.209;0.125;12.428;0.366;0.084;19.830;0.000;0.001
766.461;283.978;27.374;9.543;8.997;0.180;0.281;18.756;0.261;0.400;0.000;29.073;0.204;0.123;12.067;0.388;0.090;19.610;0.000;0.001
766.341;283.298;27.369;9.986;8.953;0.155;0.300;18.488;0.278;0.378;0.000;28.950;0.207;0.107;12.168;0.380;0.098;19.535;0.000;0.000
766.296;284.580;27.368;8.251;9.189;0.158;0.277;19.196;0.273;0.399;0.000;29.457;0.226;0.108;12.854;0.372;0.092;19.141;0.000;0.006
766.000;282.317;27.357;10.412;8.790;0.177;0.300;18.621;0.278;0.379;0.000;28.777;0.226;0.085;11.872;0.414;0.096;19.550;0.000;0.013
766.377;283.921;27.371;10.563;8.843;0.171;0.293;18.908;0.233;0.359;0.000;28.565;0.209;0.069;11.889;0.390;0.087;19.403;0.000;0.005
766.022;284.586;27.358;9.744;8.906;0.185;0.237;19.283;0.258;0.372;0.000;28.630;0.213;0.077;12.210;0.386;0.102;19.381;0.000;0.000
766.800;283.591;27.386;10.739;8.804;0.189;0.230;18.577;0.274;0.375;0.000;28.815;0.216;0.070;11.863;0.407;0.123;19.312;0.000;0.000
765.954;283.615;27.356;10.264;9.063;0.186;0.300;18.692;0.268;0.375;0.000;28.638;0.229;0.091;12.127;0.347;0.079;19.327;0.000;0.000
766.444;282.989;27.373;10.196;9.002;0.150;0.315;18.682;0.245;0.365;0.000;28.996;0.217;0.107;11.921;0.388;0.093;19.308;0.000;0.000
766.710;283.371;27.382;9.812;8.819;0.158;0.273;18.660;0.255;0.398;0.000;28.791;0.213;0.093;12.397;0.378;0.149;19.591;0.000;0.005
765.760;282.788;27.349;10.538;8.889;0.178;0.278;18.909;0.248;0.371;0.000;28.657;0.223;0.077;11.796;0.406;0.139;19.287;0.000;0.004
766.089;283.787;27.360;9.901;8.691;0.177;0.244;19.013;0.247;0.370;0.000;28.906;0.220;0.117;12.120;0.380;0.098;19.509;0.000;0.000
765.770;283.792;27.349;9.936;8.843;0.165;0.290;18.837;0.245;0.353;0.000;28.716;0.233;0.132;12.188;0.359;0.063;19.628;0.000;0.000
765.738;284.363;27.348;9.943;8.813;0.169;0.301;18.975;0.271;0.371;0.000;28.858;0.209;0.105;12.155;0.356;0.133;19.326;0.000;0.000
