Messages;Total Time;First Message;Average per Round;Key Generation;Commitments on Key;PoK Generation on Keys;Sending Comm&PoK on Keys;Receive Comm&PoK on Keys;Setting Round Messages;Calculate PoK on Message Format;Send Format Proof;Receive Comm&PoK on Format;Calculate PoK on Message;Send PoK on Message;Receive PoK on Message;Calculate PoK on Output;Send PoK on Output;Receive PoK on Output;Virtual Round;Round Resolution
1;34.16539285714286;34.13867857142857;34.16539285714286;13.104750000000001;12.375607142857143;0.25164285714285717;0.6385714285714286;17.88789285714286;0.19039285714285717;0.5855714285714287;0.0;28.595428571428577;0.38575;0.1590357142857143;11.532964285714288;0.24225000000000005;0.13260714285714284;13.837678571428569;0.0;0.007642857142857144
2;64.39817857142855;64.36985714285713;32.199107142857144;11.776499999999999;10.394142857142857;0.1943214285714286;0.5185000000000001;17.531392857142855;0.19853571428571426;0.3801785714285714;0.0;32.46082142857143;0.2858214285714286;0.15085714285714288;10.872964285714284;0.25032142857142864;0.1651071428571429;14.772642857142852;0.0;0.005428571428571429
3;94.48267857142855;64.95396428571429;31.494250000000005;10.980035714285716;9.811499999999997;0.1818571428571429;0.3574642857142858;17.678821428571425;0.2228571428571428;0.386607142857143;0.0;32.666500000000006;0.27207142857142863;0.1545357142857143;10.362642857142857;0.3321785714285714;0.1358214285714286;16.422857142857143;7.142857142857143e-05;0.004428571428571429
4;123.16303571428568;64.16900000000001;30.790857142857142;9.91592857142857;8.947107142857144;0.20642857142857146;0.43517857142857136;18.48107142857143;0.22817857142857143;0.3765714285714286;0.0;31.68210714285714;0.24842857142857147;0.11192857142857146;10.975142857142858;0.37814285714285706;0.13385714285714284;17.838928571428575;0.0;0.0038214285714285724
5;148.68374999999997;92.94392857142857;29.736642857142865;11.07842857142857;9.389607142857145;0.17153571428571432;0.37857142857142856;18.0165;0.23710714285714288;0.38028571428571434;0.0;31.249571428571436;0.24685714285714289;0.13485714285714284;11.304785714285712;0.3214285714285715;0.08589285714285717;16.98257142857143;0.0;0.002678571428571429
6;174.99478571428568;93.1380357142857;29.165857142857142;10.681607142857144;9.224357142857144;0.16157142857142856;0.32896428571428565;18.27507142857143;0.2428214285714286;0.3895714285714286;0.0;31.309535714285715;0.2573571428571429;0.10460714285714287;11.466357142857145;0.33028571428571435;0.14557142857142855;17.059607142857143;0.0;0.003321428571428572
7;204.41660714285712;92.38710714285715;29.202392857142858;10.110035714285713;9.23832142857143;0.17192857142857143;0.3261428571428571;18.025714285714283;0.2392857142857143;0.3684285714285714;0.0;30.419464285714287;0.2374285714285715;0.10442857142857144;10.987178571428572;0.41521428571428565;0.12400000000000001;19.21075;0.0;0.0007142857142857144
8;227.90278571428576;120.3052142857143;28.48789285714286;10.593428571428571;9.062392857142859;0.18521428571428572;0.3410357142857143;18.634000000000004;0.24978571428571428;0.3812857142857143;0.0;31.00667857142857;0.22810714285714287;0.1069285714285714;11.592428571428568;0.3217499999999999;0.10107142857142858;17.177642857142853;0.0;0.0025
9;261.0328928571429;149.36503571428574;29.003571428571433;10.528964285714284;9.018821428571428;0.17185714285714287;0.2971785714285714;18.160035714285712;0.25142857142857145;0.3916428571428571;0.0;30.51107142857143;0.2347857142857143;0.12196428571428573;11.385178571428568;0.38114285714285717;0.10785714285714287;18.407107142857143;0.0;0.0027857142857142863
10;281.79303571428574;146.28024999999997;28.17921428571429;10.402107142857142;8.905178571428573;0.17907142857142855;0.30896428571428575;18.96042857142857;0.2335;0.3708214285714286;0.0;29.827535714285712;0.22667857142857148;0.10585714285714286;11.811214285714287;0.36292857142857154;0.11375000000000003;18.17367857142857;0.0;0.002678571428571429
